"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Urban",NA,"Urban","Urban",NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,"Urban","Urban","Urban",NA,NA,"Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,NA,NA,NA,NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,"Urban",NA,"Urban",NA,NA,"Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,"Urban","Urban",NA,NA,"Urban",NA,NA,NA,NA,"Urban",NA,NA,NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,NA,NA,NA,"Urban",NA
NA,NA,"Rural","Rural",NA,NA,NA,"Rural",NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,NA,"Rural",NA,NA,"Rural","Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Rural","Rural","Rural","Rural","Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural"
"Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,"Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,"Rural"
"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA
"Rural",NA,NA,NA,NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA
NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban"
NA,NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,"Rural","Rural","Rural",NA,NA,"Rural","Rural",NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,"Rural","Rural","Rural",NA,NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,"Rural","Rural","Rural",NA,NA,"Rural",NA,NA,"Rural","Rural","Rural","Rural","Rural",NA,NA,NA,"Rural",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA
NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural","Rural",NA,NA,"Rural",NA,NA,"Rural",NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural","Rural","Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,NA,"Rural","Rural"
NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,"Suburban"
NA,NA,NA,"Urban",NA,"Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Urban","Urban","Urban",NA,NA,"Urban",NA,"Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban",NA,"Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,NA,NA,NA,"Urban","Urban",NA,NA,"Urban",NA,NA,NA,NA,"Urban","Urban",NA,NA,"Urban",NA,"Urban",NA,NA,NA,NA,"Urban","Urban",NA,"Urban",NA,NA,NA,NA,"Urban",NA,NA,"Urban",NA,"Urban",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban"
NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA
NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban"
NA,NA,"Urban","Urban",NA,NA,"Urban","Urban",NA,NA,NA,NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,NA,NA,NA,NA,"Urban",NA,"Urban",NA,NA,"Urban",NA,NA,NA,NA,"Urban",NA,NA,"Urban",NA,NA,NA,NA,"Urban",NA,NA,NA,NA,NA,NA,NA,NA,"Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban",NA,NA,NA,"Urban",NA,NA,"Urban","Urban",NA,"Urban",NA,NA,NA,"Urban","Urban",NA,NA,NA,"Urban",NA,NA,"Urban",NA,NA,"Urban",NA,"Urban",NA,NA,NA,NA,"Urban","Urban",NA,NA,"Urban",NA,NA,NA,NA
"Rural",NA,"Rural",NA,NA,NA,"Rural",NA,"Rural","Rural","Rural","Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,NA,"Rural",NA,"Rural","Rural","Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA
NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA
NA,NA,"Rural","Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,NA,"Rural","Rural","Rural",NA,NA,NA,"Rural",NA,"Rural","Rural",NA,"Rural","Rural","Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,"Rural",NA,"Rural","Rural",NA,"Rural",NA,NA,"Rural","Rural",NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA
NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA
"Suburban",NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA
NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA
NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural","Rural","Rural",NA,NA,NA,"Rural",NA,"Rural","Rural","Rural"
"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA
NA,"Urban",NA,NA,NA,"Urban",NA,NA,"Urban",NA,NA,"Urban",NA,NA,NA,"Urban",NA,NA,NA,NA,"Urban",NA,NA,NA,NA,NA,"Urban","Urban",NA,NA,NA,"Urban",NA,NA,NA,NA,"Urban","Urban",NA,NA,NA,NA,"Urban",NA,NA,NA,"Urban","Urban",NA,NA,NA,"Urban",NA,NA,"Urban","Urban",NA,NA,"Urban","Urban",NA,"Urban",NA,NA,NA,NA,"Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,"Urban",NA
NA,NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,NA,NA,NA,"Urban",NA,"Urban",NA,NA,"Urban",NA,"Urban",NA,NA,NA,"Urban",NA,NA,"Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Urban",NA,NA,"Urban",NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban","Urban",NA,NA,NA,NA,NA,NA,"Urban",NA,"Urban","Urban",NA,"Urban",NA,"Urban",NA,NA,NA
"Rural",NA,NA,"Rural",NA,NA,"Rural",NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,"Rural",NA,"Rural",NA,NA,NA,"Rural",NA,"Rural",NA,"Rural",NA,"Rural",NA,"Rural","Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,"Rural",NA,"Rural",NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,NA,"Rural"
"Suburban","Suburban",NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA
NA,NA,"Rural",NA,"Rural",NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,"Rural",NA,NA,"Rural",NA,"Rural","Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural","Rural",NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural",NA,NA,"Rural",NA,"Rural","Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural","Rural",NA,NA,NA,"Rural","Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural","Rural",NA,NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,"Rural",NA,NA,NA,"Rural",NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,NA
NA,NA,NA,"Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural",NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural",NA,NA,"Rural","Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural","Rural","Rural","Rural","Rural",NA,NA,NA,NA,NA,NA
NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA
NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA
"Urban",NA,"Urban",NA,NA,NA,"Urban",NA,"Urban",NA,NA,NA,NA,"Urban",NA,"Urban","Urban",NA,NA,NA,"Urban",NA,NA,NA,NA,"Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,"Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,NA,"Urban","Urban","Urban",NA,"Urban",NA,NA,"Urban",NA,"Urban",NA,NA,NA,NA,NA,NA,"Urban",NA,NA,"Urban",NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban",NA,NA,"Urban",NA,"Urban"
NA,NA,NA,NA,NA,"Rural","Rural",NA,"Rural","Rural",NA,"Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,"Rural","Rural",NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,NA,NA,"Rural","Rural","Rural",NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural"
NA,NA,"Rural",NA,NA,"Rural","Rural",NA,"Rural",NA,NA,NA,"Rural",NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural","Rural",NA,"Rural",NA,NA,"Rural","Rural",NA,NA,NA,NA,NA,"Rural",NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,"Rural",NA,NA,NA,NA,NA,NA,NA,"Rural","Rural","Rural","Rural",NA,"Rural",NA,NA,NA,NA,NA,"Rural",NA,"Rural",NA,"Rural",NA,NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA,NA,"Rural",NA,"Rural",NA,NA,"Rural",NA,NA,NA,"Rural","Rural",NA,NA,"Rural",NA
